feature,importance
Morgan_1964,0.00010413829332262874
Morgan_910,0.0001041140923831146
Morgan_104,0.00010390794693088233
Morgan_2008,0.00010367094904165803
Morgan_790,0.00010358295384687576
Morgan_1416,0.00010332874314135533
Morgan_1839,0.00010315957558973154
Morgan_1063,0.00010282744693311714
Morgan_684,0.00010253968636358607
Morgan_1233,0.00010108008438820838
Morgan_703,0.000100532838128137
Morgan_527,0.00010048912531959585
Morgan_127,9.995066135440747e-05
Morgan_1971,9.95214497219317e-05
Morgan_43,9.779501174629473e-05
Morgan_121,9.72034021065339e-05
Morgan_248,9.688851230063224e-05
Morgan_517,9.648308989799105e-05
Morgan_562,9.637546404354656e-05
Morgan_1876,9.615615089827815e-05
Morgan_1819,9.57812901548738e-05
Morgan_1969,9.515784353631255e-05
Morgan_555,9.51072367235096e-05
Morgan_984,9.450826228471678e-05
Morgan_63,9.419726670076615e-05
Morgan_890,9.401782695699841e-05
Morgan_313,9.401688876342827e-05
Morgan_1903,9.364616127216194e-05
Morgan_2,9.36230925115015e-05
Morgan_226,9.330547647564617e-05
Morgan_1436,9.314744638453743e-05
Morgan_840,9.302190879727111e-05
Morgan_384,9.275605651577417e-05
Morgan_654,9.274765155084539e-05
Morgan_317,9.240647639235824e-05
Morgan_463,9.214745436472173e-05
Morgan_693,9.202908535943977e-05
Morgan_792,9.187961781831061e-05
Morgan_712,9.107195120884609e-05
Morgan_556,9.046291727137918e-05
Morgan_106,9.021765586146985e-05
Morgan_353,9.004138230406095e-05
Morgan_1418,8.994235013900072e-05
Morgan_1693,8.993224414805962e-05
Morgan_1760,8.931983158395005e-05
Morgan_25,8.916989452296553e-05
Morgan_602,8.863214307167356e-05
Morgan_2038,8.849704565487797e-05
Morgan_245,8.813991844155992e-05
Morgan_491,8.806007524394399e-05
Morgan_274,8.761803186808224e-05
Morgan_1884,8.73448758275448e-05
Morgan_50,8.67311237001498e-05
Morgan_102,8.658437186204908e-05
Morgan_1014,8.618757329585879e-05
Morgan_257,8.612878136088485e-05
Morgan_1618,8.608958854319307e-05
Morgan_1464,8.578112128053426e-05
Morgan_342,8.578073974945295e-05
Morgan_646,8.520539572760994e-05
Morgan_147,8.493770780598805e-05
Morgan_429,8.492260914626332e-05
Morgan_2034,8.434450041475884e-05
Morgan_516,8.325013983807991e-05
Morgan_1009,8.314008793490504e-05
Morgan_328,8.296778406247793e-05
Morgan_1795,8.289748631168319e-05
Morgan_1045,8.212118312748229e-05
Morgan_394,8.190738946626585e-05
Morgan_253,8.148585427337987e-05
Morgan_1422,8.110747557857795e-05
Morgan_801,8.105980841826534e-05
Morgan_972,8.081357033225797e-05
Morgan_1263,8.078523185356648e-05
Morgan_1087,8.061118301662873e-05
Morgan_1023,8.017748765430623e-05
Morgan_526,7.984016256924486e-05
Morgan_1413,7.98282711575798e-05
Morgan_1736,7.96129240224454e-05
Morgan_1511,7.957504914616875e-05
Morgan_1445,7.953465957943805e-05
Morgan_1873,7.933346941487544e-05
Morgan_1691,7.916586957292215e-05
Morgan_1056,7.913345444383417e-05
Morgan_1380,7.788012429877408e-05
Morgan_953,7.786978177363992e-05
Morgan_2037,7.733177326868945e-05
Morgan_221,7.719091200381596e-05
Morgan_278,7.715360239104911e-05
Morgan_242,7.661185155412087e-05
Morgan_1939,7.65813063522711e-05
Morgan_1189,7.640317448456893e-05
Morgan_93,7.560418327764277e-05
Morgan_1947,7.550431161215925e-05
Morgan_21,7.546927163443262e-05
Morgan_1424,7.488683181669104e-05
Morgan_1937,7.486372648662038e-05
Morgan_1852,7.472961704972023e-05
Morgan_990,7.470853033771782e-05
Morgan_1403,7.378659882093072e-05
Morgan_912,7.345245321297434e-05
Morgan_1668,7.330253731589096e-05
Morgan_1406,7.324888715081626e-05
Morgan_291,7.290307706647819e-05
Morgan_440,7.275294857373005e-05
Morgan_850,7.261752743223962e-05
Morgan_1104,7.244826555519678e-05
Morgan_151,7.229493446382236e-05
Morgan_1043,7.209602966263293e-05
Morgan_426,7.208646235899271e-05
Morgan_9,7.165269668410866e-05
Morgan_606,7.152554850472049e-05
Morgan_745,7.109632832066633e-05
Morgan_1255,7.102293514995671e-05
Morgan_1773,7.093858375889188e-05
Morgan_1526,7.050472551357187e-05
Morgan_927,7.03060899390702e-05
Morgan_611,7.016818794623844e-05
Morgan_641,7.0048352957073e-05
Morgan_685,7.002191907535007e-05
Morgan_1101,6.924191988407051e-05
Morgan_92,6.917538606091696e-05
Morgan_2044,6.877597088373297e-05
Morgan_609,6.864629684204111e-05
Morgan_1455,6.844872217964876e-05
Morgan_1751,6.844677635629495e-05
Morgan_592,6.816449782748672e-05
Morgan_1777,6.805181067843972e-05
Morgan_658,6.788069532022598e-05
Morgan_590,6.766455909707102e-05
Morgan_1717,6.765382739346587e-05
Morgan_1518,6.733534226314055e-05
Morgan_1904,6.726507565003776e-05
